2026-01-10 19:55:49.072 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 19:55:49.073 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 19:59:16.405 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 19:59:34.533 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 19:59:34.533 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 19:59:34.533 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 19:59:34.652 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 19:59:34.652 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:02:42.075 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 20:02:45.478 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 20:02:45.478 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 20:02:45.478 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 20:02:45.592 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 20:02:45.594 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:02:46.642 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 20:02:53.743 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 20:02:53.743 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 20:02:53.743 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 20:02:53.855 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 20:02:53.856 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:09:05.803 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 20:09:06.245 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 20:21:26.519 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 20:21:44.367 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 20:21:44.368 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 20:21:44.369 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 20:21:44.478 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 20:21:44.480 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:27:27.467 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 20:27:30.961 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 20:27:30.962 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 20:27:30.963 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 20:27:31.080 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 20:27:31.081 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:27:50.515 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 20:27:54.130 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 20:27:54.130 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 20:27:54.131 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 20:27:54.237 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 20:27:54.238 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 20:27:59.705 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 20:27:59.792 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 20:28:03.174 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 21:03:29.534 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 21:03:29.535 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 21:03:29.536 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 21:03:29.649 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 21:03:29.650 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 21:03:33.251 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 21:03:33.253 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 21:03:33.253 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 21:03:33.389 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 21:03:33.391 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 21:03:33.680 | INFO     | app.services.video_downloader:download:37 - Downloading from Platform.TIKTOK: https://www.tiktok.com/@lyminhthy88/video/7579815385784978706
2026-01-10 21:03:33.775 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 21:03:38.078 | ERROR    | app.services.video_downloader:_download_tiktok:120 - TikTok download failed: [0;31mERROR:[0m [TikTok] 7579815385784978706: Unable to extract [0;94msigi state[0m; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U
2026-01-10 21:03:38.080 | ERROR    | app.services.video_downloader:download:58 - Download failed: Failed to download TikTok video: [0;31mERROR:[0m [TikTok] 7579815385784978706: Unable to extract [0;94msigi state[0m; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U
2026-01-10 21:03:38.081 | ERROR    | app.api.endpoints:process_video_job:1217 - Job 9cd4ea1f-81c9-416f-9c9f-d30b80e079da failed: Failed to download TikTok video: [0;31mERROR:[0m [TikTok] 7579815385784978706: Unable to extract [0;94msigi state[0m; please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U
2026-01-10 21:03:38.108 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 21:03:50.846 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 21:03:54.415 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 21:03:54.416 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 21:03:54.417 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 21:03:54.521 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 21:03:54.523 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 21:04:23.701 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 21:04:27.285 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 21:04:27.287 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 21:04:27.287 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 21:04:27.400 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 21:04:27.401 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 21:04:44.505 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
